Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 6OQ9gBfg5EXeNAEwGSs6jK || Album Name: Dark Lane Demo Tapes || Release Date: 2020-05-01 || No. of Tracks: 14 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 7dqpveMVcWgbzqYrOdkFTD || Album Name: Care Package || Release Date: 2019-08-02 || No. of Tracks: 17 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 1ATL5GLyefJaxhQzSPVrLX || Album Name: Scorpion || Release Date: 2018-06-29 || No. of Tracks: 25 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 1lXY618HWkwYKJWBRYR4MK || Album Name: More Life || Release Date: 2017-03-18 || No. of Tracks: 22 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 40GMAhriYJRO1rsY4YdrZb || Album Name: Views || Release Date: 2016-05-06 || No. of Tracks: 20 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 1ozpmkWcCHwsQ4QTnxOOdT || Album Name: What A Time To Be Alive || Release Date: 2015-09-20 || No. of Tracks: 11 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 0ptlfJfwGTy0Yvrk14JK1I || Album Name: If You're Reading This It's Too Late || Release Date: 2015-02-12 || No. of Tracks: 17 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 2ZUFSbIkmFkGag000RWOpA || Album Name: Nothing Was The Same (Deluxe) || Release Date: 2013-01-01 || No. of Tracks: 16 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 1XslIirSxfAhhxRdn4Li9t || Album Name: Nothing Was The Same || Release Date: 2013-01-01 || No. of Tracks: 13 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 6X1x82kppWZmDzlXXK3y3q || Album Name: Take Care (Deluxe) || Release Date: 2011-11-15 || No. of Tracks: 19 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 6agmeioaDOBupymziJihgB || Album Name: Thank Me Later (Int'l Version) || Release Date: 2010-01-01 || No. of Tracks: 15 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 6cBEXcGAITJteTAkbSneXd || Album Name: Thank Me Later || Release Date: 2010-01-01 || No. of Tracks: 14 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 1LShhEEKRT5MNPcO7jtYHh || Album Name: So Far Gone || Release Date: 2009 || No. of Tracks: 18 || Album Type: album

Artist ID: 0EmeFodog0BfCgMzAIvKQp || Album ID: 6WaruQqgJzSlSzZz2YdUku || Album Name: Laundry Service: Washed and Dried (Expanded Edition) || Release Date: 2021-11-12 || No. of Tracks: 17 || Album Type: album
Artist ID: 0EmeFodog0BfCgMzAIvKQp || Album ID: 5EdGgMlsJ7bv8IUqkaaPZN || Album Name: Shakira In Concert: El Dorado World Tour || Release Date: 2019-11-13 || No. of Tracks: 20 || Album Type: album
Artist ID: 0EmeFodog0BfCgMzAIvKQp || Album ID: 6bUxh58rYTL67FS8dyTKMN || Album Name: El Dorado || Release Date: 2017-05-26 || No. of Tracks: 13 || Album Type: album
Artist ID: 0EmeFodog0BfCgMzAIvKQp || Album ID: 4nXeW6UwZGBnv6zops27k4 || Album Name: Shakira. (Expanded Edition) || Release Date: 2014-03-14 || No. of Tracks: 15 || Album Type: album
Artist ID: 0EmeFodog0BfCgMzAIvKQp || Album ID: 5meb7aKE722LA66ssBhvfM || Album Name: Shakira. (Expanded Edition) [Spanish Version] || Release Date: 2014-03-13 || No. of Tracks: 15 || Album Type: album
Artist ID: 0EmeFodog0BfCgMzAIvKQp || Album ID: 0qE6Dd97eQiywwpbrhb5fX || Album Name: Live From Paris || Release Date: 2011-12-05 || No. of Tracks: 19 || Album Type: album
Artist ID: 0EmeFodog0BfCgMzAIvKQp || Album ID: 3gR578qnw47M30LVBTjrlW || Album Name: Sale el Sol || Release Date: 2010-10-19 || No. of Tracks: 16 || Album Type: album
Artist ID: 0EmeFodog0BfCgMzAIvKQp || Album ID: 5u0OuxRnf3FzvZR07xAxL2 || Album Name: She Wolf (Expanded Edition) || Release Date: 2009 || No. of Tracks: 16 || Album Type: album
Artist ID: 0EmeFodog0BfCgMzAIvKQp || Album ID: 5ppnlEoj4HdRRdRihnY3jU || Album Name: Oral Fixation, Vol. 2 (Expanded Edition) || Release Date: 2005-11-28 || No. of Tracks: 13 || Album Type: album
